"","borough","spc_common","total_count"
"557","Staten Island","Chinese tree lilac",104
"558","Staten Island","cockspur hawthorn",90
"559","Staten Island","common hackberry",167
"560","Staten Island","Cornelian cherry",286
"561","Staten Island","crab apple",547
"562","Staten Island","crepe myrtle",86
"563","Staten Island","crimson king maple",1806
"564","Staten Island","cucumber magnolia",38
"565","Staten Island","dawn redwood",399
"566","Staten Island","Douglas-fir",8
"567","Staten Island","eastern cottonwood",63
"568","Staten Island","eastern hemlock",16
"569","Staten Island","eastern redbud",947
"570","Staten Island","eastern redcedar",76
"571","Staten Island","empress tree",39
"572","Staten Island","English oak",203
"573","Staten Island","European alder",12
"574","Staten Island","European beech",12
"575","Staten Island","European hornbeam",186
"576","Staten Island","false cypress",9
"577","Staten Island","flowering dogwood",288
"578","Staten Island","ginkgo",905
"579","Staten Island","golden raintree",594
"580","Staten Island","green ash",2384
"581","Staten Island","hardy rubber tree",93
"582","Staten Island","hawthorn",645
"583","Staten Island","hedge maple",471
"584","Staten Island","Himalayan cedar",20
"585","Staten Island","holly",15
"586","Staten Island","honeylocust",4146
"587","Staten Island","horse chestnut",184
"588","Staten Island","Japanese hornbeam",44
"589","Staten Island","Japanese maple",159
"590","Staten Island","Japanese snowbell",36
"591","Staten Island","Japanese tree lilac",874
"592","Staten Island","Japanese zelkova",2349
"593","Staten Island","katsura tree",98
"594","Staten Island","Kentucky coffeetree",346
"595","Staten Island","Kentucky yellowwood",62
"596","Staten Island","kousa dogwood",54
"597","Staten Island","littleleaf linden",1674
"598","Staten Island","London planetree",9308
"599","Staten Island","magnolia",120
"600","Staten Island","maple",2591
"601","Staten Island","mimosa",9
"602","Staten Island","mulberry",142
"603","Staten Island","northern red oak",592
"604","Staten Island","Norway maple",4096
"605","Staten Island","Norway spruce",51
"606","Staten Island","Ohio buckeye",5
"607","Staten Island","Oklahoma redbud",30
"608","Staten Island","Osage-orange",4
"609","Staten Island","pagoda dogwood",81
"610","Staten Island","paper birch",122
"611","Staten Island","paperbark maple",38
"612","Staten Island","Persian ironwood",23
"613","Staten Island","pignut hickory",21
"614","Staten Island","pin oak",7105
"615","Staten Island","pine",28
"616","Staten Island","pitch pine",6
"617","Staten Island","pond cypress",7
"618","Staten Island","purple-leaf plum",1741
"619","Staten Island","quaking aspen",20
"620","Staten Island","red horse chestnut",24
"621","Staten Island","red maple",7319
"622","Staten Island","red pine",15
"623","Staten Island","river birch",156
"624","Staten Island","sassafras",24
"625","Staten Island","sawtooth oak",164
"626","Staten Island","scarlet oak",94
"627","Staten Island","Schumard's oak",281
"628","Staten Island","Scots pine",3
"629","Staten Island","serviceberry",434
"630","Staten Island","Shantung maple",11
"631","Staten Island","shingle oak",57
"632","Staten Island","Siberian elm",198
"633","Staten Island","silver birch",49
"634","Staten Island","silver linden",265
"635","Staten Island","silver maple",4012
"636","Staten Island","smoketree",2
"637","Staten Island","Sophora",949
"638","Staten Island","southern magnolia",19
"639","Staten Island","southern red oak",18
"640","Staten Island","spruce",24
"641","Staten Island","sugar maple",548
"642","Staten Island","swamp white oak",760
"643","Staten Island","sweetgum",4948
"644","Staten Island","sycamore maple",311
"645","Staten Island","tartar maple",32
"646","Staten Island","tree of heaven",64
"647","Staten Island","trident maple",23
"648","Staten Island","tulip-poplar",216
"649","Staten Island","Turkish hazelnut",17
"650","Staten Island","two-winged silverbell",57
"651","Staten Island","weeping willow",55
"652","Staten Island","white ash",152
"653","Staten Island","white oak",225
"654","Staten Island","white pine",46
"655","Staten Island","willow oak",243
